species,group
arrowtooth flounder,flatfish
big skate,elasmobranch
bocaccio,rockfish
butter sole,flatfish
California skate,elasmobranch
canary rockfish,rockfish
chilipepper,rockfish
curlfin sole,flatfish
darkblotched rockfish,rockfish
Dover sole,flatfish
English sole,flatfish
flathead sole,flatfish
greenspotted rockfish,rockfish
greenstriped rockfish,rockfish
kelp greenling,roundfish
lingcod,roundfish
longnose skate,elasmobranch
Pacific cod,roundfish
Pacific ocean perch,rockfish
Pacific sanddab,flatfish
Pacific spiny dogfish,elasmobranch
petrale sole,flatfish
pygmy rockfish,rockfish
quillback rockfish,rockfish
redbanded rockfish,rockfish
redstripe rockfish,rockfish
rex sole,flatfish
rosethorn rockfish,rockfish
rougheye and blackspotted rockfish,rockfish
sablefish,roundfish
sand sole,flatfish
sandpaper skate,elasmobranch
sharpchin rockfish,rockfish
shortbelly rockfish,rockfish
shortspine thornyhead,rockfish
silvergray rockfish,rockfish
southern rock sole,flatfish
splitnose rockfish,rockfish
spotted ratfish,other
starry flounder,flatfish
starry skate,elasmobranch
stripetail rockfish,rockfish
widow rockfish,rockfish
yelloweye rockfish,rockfish
yellowtail rockfish,rockfish
